Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737310.66,2.09,3.9275129,3.8363569,4.0028153,0.65010608,2018-09-07 15:50:24.000002816,0.0
737310.66,2.09,3.9275129,3.8363569,4.0028153,0.65775443,2018-09-07 15:50:24.000002816,0.0
737311.3,1.04,3.923917,3.832761,3.9992194,0.6598628,2018-09-08 07:12:00.000004026,0.0
737311.56,1.32,3.9218396,3.8306836,3.997142,0.65664909,2018-09-08 13:26:24.000004829,0.0
737312.42,1.0,3.9267262,3.8355703,4.0020286,0.65713513,2018-09-09 10:04:48.000003620,0.0
737314.62,1.94,3.9172893,3.8261334,3.9925917,0.66517269,2018-09-11 14:52:47.999999593,0.0
737314.91,1.32,3.9171422,3.8259863,3.9924446,0.66414662,2018-09-11 21:50:24.000002816,0.0
737315.05,2.0,3.9362966,3.8451407,4.011599,0.66571407,2018-09-12 01:12:00.000004026,0.0
737315.49,1.32,3.9371054,3.8459495,4.0124078,0.66421669,2018-09-12 11:45:35.999999196,0.0
737315.65,1.53,3.945079,3.8539231,4.0203814,0.66383888,2018-09-12 15:36:00.000002013,0.0
737315.69,1.32,3.9479398,3.8567838,4.0232422,0.66571706,2018-09-12 16:33:35.999995170,0.0
737316.08,1.47,3.9470018,3.8558458,4.0223041,0.66540648,2018-09-13 01:55:11.999996379,0.0
737316.12,1.13,3.9529579,3.861802,4.0282603,0.66501608,2018-09-13 02:52:47.999999593,0.0
737316.14,1.0,3.9536049,3.862449,4.0289073,0.67071036,2018-09-13 03:21:36.000001209,0.0
737316.51,1.6,3.9635419,3.872386,4.0388443,0.66872764,2018-09-13 12:14:24.000000803,0.0
737316.77,1.0,3.9815391,3.8903832,4.0568415,0.66728103,2018-09-13 18:28:48.000001607,0.0
737316.83,1.41,3.9950843,3.9039284,4.0703867,0.6659277,2018-09-13 19:55:11.999996379,0.0
737316.84,1.04,4.0068781,3.9157222,4.0821805,0.6658381,2018-09-13 20:09:35.999997183,0.0
737316.91,1.6,4.0109607,3.9198048,4.0862631,0.66889564,2018-09-13 21:50:24.000002816,0.0
737316.98,1.04,4.0108303,3.9196744,4.0861327,0.67020858,2018-09-13 23:31:11.999998392,0.0
737316.99,1.41,4.013015,3.9218591,4.0883174,0.67083711,2018-09-13 23:45:35.999999196,0.0
737317.05,1.32,4.0172064,3.9260505,4.0925088,0.66948501,2018-09-14 01:12:00.000004026,0.0
737317.11,1.04,4.0214743,3.9303184,4.0967767,0.66887042,2018-09-14 02:38:23.999998790,0.0
737317.13,1.57,4.0237876,3.9326317,4.09909,0.67351803,2018-09-14 03:07:12.000000406,0.0
737317.26,1.47,4.0249258,3.9337699,4.1002282,0.67586227,2018-09-14 06:14:24.000000803,0.0
737317.55,1.0,4.0236415,3.9324856,4.0989439,0.67823538,2018-09-14 13:12:00.000004026,0.0
737317.56,1.47,4.0260442,3.9348883,4.1013466,0.67985466,2018-09-14 13:26:24.000004829,0.0
737317.6,1.0,4.0594027,3.9682468,4.1347051,0.67550505,2018-09-14 14:23:59.999997986,0.0
737317.6,1.0,4.0594027,3.9682468,4.1347051,0.67779269,2018-09-14 14:23:59.999997986,0.0
737317.6,1.57,4.06273,3.9715741,4.1380324,0.67550505,2018-09-14 14:23:59.999997986,0.0
737317.6,1.57,4.06273,3.9715741,4.1380324,0.67779269,2018-09-14 14:23:59.999997986,0.0
737317.68,1.57,4.1159856,4.0248296,4.191288,0.67493553,2018-09-14 16:19:12.000004423,0.0
737318.05,1.32,4.1549649,4.0638089,4.2302673,0.67211788,2018-09-15 01:12:00.000004026,0.0
737318.16,1.94,4.1562888,4.0651328,4.2315912,0.67133792,2018-09-15 03:50:24.000002816,0.0
737318.17,1.0,4.1655102,4.0743543,4.2408126,0.67194509,2018-09-15 04:04:48.000003620,0.0
737318.19,1.0,4.1647827,4.0736268,4.2400851,0.67453718,2018-09-15 04:33:35.999995170,0.0
737318.22,1.0,4.1948658,4.1037098,4.2701682,0.67312545,2018-09-15 05:16:47.999997589,0.0
