Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737671.8,1.04,4.3714946,4.2803386,4.446797,0.54306144,2019-09-03 19:12:00.000004026,1
737672.53,1.47,4.3501973,4.2590414,4.4254997,0.55005502,2019-09-04 12:43:12.000002410,1
737673.83,0.61,4.3057616,4.2146057,4.381064,0.55551292,2019-09-05 19:55:11.999996379,1
737673.99,2.0,4.3070331,4.2158772,4.3823355,0.55650597,2019-09-05 23:45:35.999999196,1
737674.12,0.79,4.3066097,4.2154538,4.3819121,0.55868405,2019-09-06 02:52:47.999999593,1
737675.41,1.16,4.2707408,4.1795849,4.3460432,0.56448829,2019-09-07 09:50:24.000002816,1
737681.07,0.63,4.1334484,4.0422925,4.2087508,0.57006075,2019-09-13 01:40:47.999995576,1
737687.21,0.58,4.0197983,3.9286424,4.0951007,0.57306818,2019-09-19 05:02:23.999996777,1
737688.16,1.16,4.0074978,3.9163419,4.0828002,0.57764856,2019-09-20 03:50:24.000002816,1
737694.92,1.32,3.9155151,3.8243591,3.9908175,0.58568799,2019-09-26 22:04:48.000003620,1
737695.32,1.04,3.9107806,3.8196247,3.986083,0.59043313,2019-09-27 07:40:47.999995576,1
737696.15,1.32,3.9036801,3.8125241,3.9789825,0.59686541,2019-09-28 03:36:00.000002013,1
737698.96,1.16,3.8740292,3.7828732,3.9493316,0.60445148,2019-09-30 23:02:23.999996777,1
737699.04,1.16,3.8763028,3.7851468,3.9516052,0.60784283,2019-10-01 00:57:36.000003222,1
737699.11,0.79,3.8736527,3.7824968,3.9489551,0.6032566,2019-10-01 02:38:23.999998790,1
737699.14,0.51,3.8744855,3.7833296,3.9497879,0.60573067,2019-10-01 03:21:36.000001209,1
737699.21,1.13,3.8745006,3.7833447,3.949803,0.60533036,2019-10-01 05:02:23.999996777,1
737699.29,0.51,3.8731748,3.7820189,3.9484772,0.6078084,2019-10-01 06:57:36.000003222,1
737699.3,0.63,3.8730631,3.7819072,3.9483655,0.61176254,2019-10-01 07:12:00.000004026,1
737699.47,0.51,3.8707201,3.7795642,3.9460225,0.61649631,2019-10-01 11:16:47.999997589,1
737699.47,0.51,3.8707201,3.7795642,3.9460225,0.61957544,2019-10-01 11:16:47.999997589,1
737699.47,0.88,3.8715628,3.7804069,3.9468652,0.61649631,2019-10-01 11:16:47.999997589,1
737699.47,0.88,3.8715628,3.7804069,3.9468652,0.61957544,2019-10-01 11:16:47.999997589,1
737699.5,0.95,3.888701,3.7975451,3.9640034,0.61466379,2019-10-01 12:00:00.000000000,1
737699.62,1.41,3.8948119,3.8036559,3.9701142,0.61249729,2019-10-01 14:52:47.999999593,1
737699.73,1.41,3.8970507,3.8058948,3.9723531,0.61189722,2019-10-01 17:31:11.999998392,1
737699.74,0.79,3.8982574,3.8071014,3.9735598,0.61263945,2019-10-01 17:45:35.999999196,1
737699.87,0.63,3.8917092,3.8005533,3.9670116,0.60936283,2019-10-01 20:52:47.999999593,1
737699.91,0.88,3.8952692,3.8041132,3.9705716,0.60672568,2019-10-01 21:50:24.000002816,1
737699.99,1.13,3.8963228,3.8051669,3.9716252,0.60674358,2019-10-01 23:45:35.999999196,1
737700.07,1.0,3.8966636,3.8055077,3.971966,0.60740487,2019-10-02 01:40:47.999995576,1
737700.65,1.16,3.8932406,3.8020847,3.968543,0.61261825,2019-10-02 15:36:00.000002013,1
737700.67,0.79,3.8930698,3.8019139,3.9683722,0.61266505,2019-10-02 16:04:48.000003620,1
737700.74,0.79,3.8933749,3.802219,3.9686773,0.61102621,2019-10-02 17:45:35.999999196,1
737700.78,0.79,3.8972424,3.8060864,3.9725447,0.60670908,2019-10-02 18:43:12.000002410,1
737700.85,0.95,3.9001066,3.8089507,3.975409,0.60213133,2019-10-02 20:23:59.999997986,1
737700.9,1.04,3.9017375,3.8105816,3.9770399,0.59804866,2019-10-02 21:36:00.000002013,1
737700.92,1.04,3.902779,3.811623,3.9780814,0.59910802,2019-10-02 22:04:48.000003620,1
737701.0,0.55,3.8994503,3.8082944,3.9747527,0.59806404,2019-10-03 00:00:00.000000000,1
737701.11,0.58,3.8986834,3.8075274,3.9739858,0.5974015,2019-10-03 02:38:23.999998790,1
737701.16,0.79,3.8991461,3.8079902,3.9744485,0.59785654,2019-10-03 03:50:24.000002816,1
737701.45,1.16,3.8991116,3.8079557,3.974414,0.60221854,2019-10-03 10:47:59.999995973,1
737701.52,1.16,3.902501,3.811345,3.9778034,0.60138177,2019-10-03 12:28:48.000001607,1
737701.53,0.63,3.9030226,3.8118667,3.978325,0.60402171,2019-10-03 12:43:12.000002410,1
737701.62,0.63,3.9026047,3.8114488,3.9779071,0.60346598,2019-10-03 14:52:47.999999593,1
737701.66,0.63,3.902029,3.8108731,3.9773314,0.60511981,2019-10-03 15:50:24.000002816,1
737701.7,0.95,3.9023305,3.8111746,3.9776329,0.60245448,2019-10-03 16:47:59.999995973,1
737701.77,1.53,3.9105204,3.8193645,3.9858228,0.60280026,2019-10-03 18:28:48.000001607,1
737701.85,0.63,3.9086965,3.8175405,3.9839989,0.60043219,2019-10-03 20:23:59.999997986,1
737702.02,0.95,3.9088391,3.8176832,3.9841415,0.6016959,2019-10-04 00:28:48.000001607,1
737702.13,1.0,3.9094202,3.8182643,3.9847226,0.60128681,2019-10-04 03:07:12.000000406,1
737702.14,0.58,3.9094977,3.8183418,3.9848001,0.60227894,2019-10-04 03:21:36.000001209,1
737702.24,0.79,3.9090132,3.8178573,3.9843156,0.5998085,2019-10-04 05:45:35.999999196,1
737702.31,0.61,3.9081174,3.8169615,3.9834198,0.59725288,2019-10-04 07:26:24.000004829,1
737702.47,1.16,3.9091757,3.8180198,3.9844781,0.59767118,2019-10-04 11:16:47.999997589,1
737702.65,1.32,3.9073413,3.8161853,3.9826437,0.59681938,2019-10-04 15:36:00.000002013,1
737702.87,0.58,3.9032745,3.8121186,3.9785769,0.59607079,2019-10-04 20:52:47.999999593,1
737702.92,1.32,3.9048487,3.8136928,3.9801511,0.59365286,2019-10-04 22:04:48.000003620,1
737703.43,1.53,3.9048037,3.8136477,3.9801061,0.5955058,2019-10-05 10:19:12.000004423,1
737704.03,1.0,3.899034,3.8078781,3.9743364,0.59986404,2019-10-06 00:43:12.000002410,1
737705.42,1.08,3.8852991,3.7941432,3.9606015,0.6032242,2019-10-07 10:04:48.000003620,1
