Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
736927.44,2.37,3.6928919,3.601736,3.7681943,0.61241031,2017-08-20 10:33:35.999995170
736932.77,1.08,3.6778003,3.5866443,3.7531027,0.61149673,2017-08-25 18:28:48.000001607
736933.17,1.63,3.6777143,3.5865584,3.7530167,0.60619926,2017-08-26 04:04:48.000003620
736933.85,1.04,3.6763866,3.5852307,3.751689,0.60051946,2017-08-26 20:23:59.999997986
736938.31,1.6,3.6720525,3.5808965,3.7473549,0.600175,2017-08-31 07:26:24.000004829
736938.44,1.11,3.6723018,3.5811459,3.7476042,0.59838903,2017-08-31 10:33:35.999995170
736939.2,1.11,3.6694508,3.5782949,3.7447532,0.59692786,2017-09-01 04:47:59.999995973
736939.67,1.63,3.6709347,3.5797787,3.7462371,0.5962038,2017-09-01 16:04:48.000003620
736939.85,1.11,3.6735209,3.582365,3.7488233,0.59441941,2017-09-01 20:23:59.999997986
736939.87,1.13,3.6740616,3.5829057,3.749364,0.59749174,2017-09-01 20:52:47.999999593
736939.9,1.66,3.6850148,3.5938588,3.7603172,0.59310705,2017-09-01 21:36:00.000002013
736939.97,1.04,3.7313512,3.6401953,3.8066536,0.58649977,2017-09-01 23:16:47.999997589
736940.08,1.47,3.7421802,3.6510243,3.8174826,0.583916,2017-09-02 01:55:11.999996379
736940.19,1.53,3.7487743,3.6576184,3.8240767,0.582274,2017-09-02 04:33:35.999995170
736940.41,1.57,3.750558,3.659402,3.8258604,0.58139433,2017-09-02 09:50:24.000002816
736940.44,1.57,3.7534051,3.6622491,3.8287075,0.58298586,2017-09-02 10:33:35.999995170
736940.5,1.04,3.7521476,3.6609917,3.82745,0.58261505,2017-09-02 12:00:00.000000000
736940.53,1.32,3.7535726,3.6624166,3.828875,0.58122469,2017-09-02 12:43:12.000002410
736940.53,1.32,3.7535726,3.6624166,3.828875,0.58443903,2017-09-02 12:43:12.000002410
736940.53,1.32,3.7547215,3.6635655,3.8300239,0.58122469,2017-09-02 12:43:12.000002410
736940.53,1.32,3.7547215,3.6635655,3.8300239,0.58443903,2017-09-02 12:43:12.000002410
736940.54,1.32,3.7544512,3.6632953,3.8297536,0.58754946,2017-09-02 12:57:36.000003222
736940.56,1.63,3.7565463,3.6653903,3.8318487,0.59351503,2017-09-02 13:26:24.000004829
736940.58,1.04,3.7550503,3.6638944,3.8303527,0.59721025,2017-09-02 13:55:11.999996379
736940.59,1.16,3.7555202,3.6643642,3.8308226,0.60032848,2017-09-02 14:09:35.999997183
736940.61,1.84,3.7593054,3.6681495,3.8346078,0.60562826,2017-09-02 14:38:23.999998790
736940.65,1.04,3.7598138,3.6686579,3.8351162,0.6097129,2017-09-02 15:36:00.000002013
736940.72,1.0,3.7583374,3.6671815,3.8336398,0.61211316,2017-09-02 17:16:47.999997589
736940.89,1.13,3.7581025,3.6669466,3.8334049,0.61075764,2017-09-02 21:21:36.000001209
736940.97,1.32,3.7589852,3.6678293,3.8342876,0.61082133,2017-09-02 23:16:47.999997589
736941.01,1.0,3.7594284,3.6682725,3.8347308,0.61378598,2017-09-03 00:14:24.000000803
736941.37,1.08,3.7576682,3.6665122,3.8329706,0.61223681,2017-09-03 08:52:47.999999593
736942.18,1.6,3.7569395,3.6657836,3.8322419,0.61437309,2017-09-04 04:19:12.000004423
736942.31,1.11,3.756165,3.6650091,3.8314674,0.61482049,2017-09-04 07:26:24.000004829
736942.32,1.11,3.7578353,3.6666794,3.8331377,0.61842516,2017-09-04 07:40:47.999995576
736942.32,1.11,3.7578353,3.6666794,3.8331377,0.62168544,2017-09-04 07:40:47.999995576
736942.32,1.57,3.7609219,3.669766,3.8362243,0.61842516,2017-09-04 07:40:47.999995576
736942.32,1.57,3.7609219,3.669766,3.8362243,0.62168544,2017-09-04 07:40:47.999995576
736942.34,1.11,3.759927,3.668771,3.8352294,0.62368215,2017-09-04 08:09:35.999997183
