Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
736813.99,0.88,4.0842973,3.9931414,4.1595997,0.68992826,2017-04-28 23:45:35.999999196
736814.04,0.51,4.0821111,3.9909552,4.1574135,0.69302811,2017-04-29 00:57:36.000003222
736814.17,0.88,4.0757655,3.9846096,4.1510679,0.68542573,2017-04-29 04:04:48.000003620
736814.19,0.51,4.0759978,3.9848418,4.1513002,0.68795265,2017-04-29 04:33:35.999995170
736814.22,0.58,4.0758165,3.9846606,4.1511189,0.6897252,2017-04-29 05:16:47.999997589
736814.44,1.08,4.0744466,3.9832907,4.149749,0.68900471,2017-04-29 10:33:35.999995170
736814.74,0.58,4.0587047,3.9675488,4.1340071,0.68186647,2017-04-29 17:45:35.999999196
736814.85,0.79,4.0853765,3.9942206,4.1606789,0.67773227,2017-04-29 20:23:59.999997986
736815.61,0.88,4.0777594,3.9866034,4.1530618,0.67736046,2017-04-30 14:38:23.999998790
736815.81,0.88,4.075882,3.984726,4.1511844,0.67729086,2017-04-30 19:26:24.000004829
736816.76,0.51,4.0571555,3.9659996,4.1324579,0.68137273,2017-05-01 18:14:24.000000803
736818.5,0.51,4.0315488,3.9403929,4.1068512,0.687537,2017-05-03 12:00:00.000000000
736819.14,0.79,4.0226806,3.9315247,4.097983,0.68738756,2017-05-04 03:21:36.000001209
736819.15,0.63,4.0231053,3.9319494,4.0984077,0.6913202,2017-05-04 03:36:00.000002013
736819.22,0.63,4.0182906,3.9271347,4.093593,0.68927447,2017-05-04 05:16:47.999997589
736819.36,0.58,4.01378,3.9226241,4.0890824,0.68879432,2017-05-04 08:38:23.999998790
736819.37,0.61,4.0074091,3.9162532,4.0827115,0.6851312,2017-05-04 08:52:47.999999593
736819.41,0.63,4.0107805,3.9196246,4.0860829,0.68431596,2017-05-04 09:50:24.000002816
736819.47,0.58,4.0122312,3.9210753,4.0875336,0.67921731,2017-05-04 11:16:47.999997589
736819.54,1.47,4.0169863,3.9258304,4.0922887,0.68196851,2017-05-04 12:57:36.000003222
736819.58,0.88,4.0213796,3.9302237,4.096682,0.67854703,2017-05-04 13:55:11.999996379
736819.6,0.79,4.023397,3.9322411,4.0986994,0.67995,2017-05-04 14:23:59.999997986
736819.64,0.55,4.0235472,3.9323913,4.0988496,0.67703907,2017-05-04 15:21:36.000001209
736819.69,0.61,4.0297352,3.9385793,4.1050376,0.6738978,2017-05-04 16:33:35.999995170
736819.72,0.79,4.0319448,3.9407889,4.1072472,0.67171213,2017-05-04 17:16:47.999997589
736819.79,0.55,4.0327118,3.9415559,4.1080142,0.67408621,2017-05-04 18:57:36.000003222
736819.8,1.63,4.0391729,3.948017,4.1144753,0.68168554,2017-05-04 19:12:00.000004026
736819.94,0.63,4.0334668,3.9423108,4.1087692,0.68064085,2017-05-04 22:33:35.999995170
736819.95,0.63,4.0357249,3.9445689,4.1110273,0.68647915,2017-05-04 22:47:59.999995973
736819.99,0.88,4.0491388,3.9579828,4.1244412,0.68283521,2017-05-04 23:45:35.999999196
736820.0,0.79,4.0600228,3.9688668,4.1353252,0.68044807,2017-05-05 00:00:00.000000000
736820.06,1.04,4.0728362,3.9816803,4.1481386,0.67972778,2017-05-05 01:26:24.000004829
736820.09,0.51,4.0734412,3.9822853,4.1487436,0.68193759,2017-05-05 02:09:35.999997183
736820.13,0.79,4.0684367,3.9772808,4.1437391,0.67741687,2017-05-05 03:07:12.000000406
736820.14,1.08,4.0718755,3.9807196,4.1471779,0.6797067,2017-05-05 03:21:36.000001209
736820.16,0.79,4.0833065,3.9921506,4.1586089,0.67701754,2017-05-05 03:50:24.000002816
736820.19,0.63,4.083581,3.992425,4.1588834,0.67259705,2017-05-05 04:33:35.999995170
736820.2,1.13,4.101077,4.0099211,4.1763794,0.6701352,2017-05-05 04:47:59.999995973
736820.23,1.11,4.108522,4.017366,4.1838244,0.66770437,2017-05-05 05:31:11.999998392
736820.3,0.95,4.1051445,4.0139886,4.1804469,0.66455995,2017-05-05 07:12:00.000004026
736820.45,0.63,4.1048888,4.0137329,4.1801912,0.66682676,2017-05-05 10:47:59.999995973
736820.5,1.0,4.1068865,4.0157306,4.1821889,0.66451741,2017-05-05 12:00:00.000000000
736820.52,0.51,4.1077448,4.0165888,4.1830472,0.66666079,2017-05-05 12:28:48.000001607
736820.55,0.95,4.1097679,4.0186119,4.1850703,0.66526954,2017-05-05 13:12:00.000004026
736820.71,0.88,4.1206368,4.0294809,4.1959392,0.66147298,2017-05-05 17:02:23.999996777
736820.79,0.79,4.118527,4.0273711,4.1938294,0.65863208,2017-05-05 18:57:36.000003222
736820.88,0.79,4.1348915,4.0437356,4.2101939,0.65738808,2017-05-05 21:07:12.000000406
736820.89,0.95,4.148094,4.0569381,4.2233964,0.65616677,2017-05-05 21:21:36.000001209
736820.95,0.58,4.163034,4.0718781,4.2383364,0.64917473,2017-05-05 22:47:59.999995973
736821.07,0.63,4.1982434,4.1070874,4.2735458,0.64694477,2017-05-06 01:40:47.999995576
736821.33,1.94,4.2129152,4.1217593,4.2882176,0.65287596,2017-05-06 07:55:11.999996379
736821.37,1.84,4.2255471,4.1343912,4.3008495,0.65861629,2017-05-06 08:52:47.999999593
736821.57,1.63,4.2402385,4.1490826,4.3155409,0.66032636,2017-05-06 13:40:47.999995576
736822.26,0.63,4.2303838,4.1392279,4.3056862,0.66221142,2017-05-07 06:14:24.000000803
