Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737862.53,2.0,4.1264804,4.0353244,4.2017828,0.64705726,2020-03-12 12:43:12.000002410,0.0
737862.87,1.53,4.1242338,4.0330779,4.1995362,0.64867944,2020-03-12 20:52:47.999999593,0.0
737863.06,1.63,4.1233605,4.0322045,4.1986628,0.64601279,2020-03-13 01:26:24.000004829,0.0
737863.12,2.69,4.1324274,4.0412715,4.2077298,0.64511997,2020-03-13 02:52:47.999999593,0.0
737863.26,1.94,4.1342404,4.0430845,4.2095428,0.6421463,2020-03-13 06:14:24.000000803,0.0
737863.9,1.94,4.1333885,4.0422326,4.2086909,0.64113099,2020-03-13 21:36:00.000002013,0.0
737863.91,2.0,4.1363311,4.0451752,4.2116335,0.6386158,2020-03-13 21:50:24.000002816,0.0
737866.79,1.94,4.1164648,4.0253089,4.1917672,0.63844874,2020-03-16 18:57:36.000003222,0.0
737866.95,1.53,4.1149593,4.0238034,4.1902617,0.63899788,2020-03-16 22:47:59.999995973,0.0
737867.33,1.94,4.1147328,4.0235768,4.1900352,0.63912125,2020-03-17 07:55:11.999996379,0.0
737867.76,1.94,4.1143035,4.0231476,4.1896059,0.63159019,2020-03-17 18:14:24.000000803,0.0
737867.9,1.6,4.1155826,4.0244266,4.1908849,0.63650892,2020-03-17 21:36:00.000002013,0.0
737867.91,1.57,4.1156712,4.0245152,4.1909736,0.63943373,2020-03-17 21:50:24.000002816,0.0
737868.09,1.53,4.1165645,4.0254086,4.1918669,0.63775525,2020-03-18 02:09:35.999997183,0.0
737868.68,1.63,4.1129043,4.0217483,4.1882067,0.63385413,2020-03-18 16:19:12.000004423,0.0
737869.16,1.6,4.1214403,4.0302844,4.1967427,0.63044157,2020-03-19 03:50:24.000002816,0.0
737869.56,1.94,4.1213395,4.0301836,4.1966419,0.62935217,2020-03-19 13:26:24.000004829,0.0
737869.72,1.94,4.1259841,4.0348281,4.2012865,0.62508155,2020-03-19 17:16:47.999997589,0.0
737870.69,1.63,4.1238177,4.0326618,4.1991201,0.62460675,2020-03-20 16:33:35.999995170,0.0
737870.69,1.63,4.1238177,4.0326618,4.1991201,0.62676608,2020-03-20 16:33:35.999995170,0.0
737870.69,1.94,4.125128,4.0339721,4.2004304,0.62460675,2020-03-20 16:33:35.999995170,0.0
737870.69,1.94,4.125128,4.0339721,4.2004304,0.62676608,2020-03-20 16:33:35.999995170,0.0
737871.27,1.57,4.1253689,4.034213,4.2006713,0.62432873,2020-03-21 06:28:48.000001607,0.0
737873.68,1.53,4.1093139,4.018158,4.1846163,0.62779013,2020-03-23 16:19:12.000004423,0.0
737874.09,2.0,4.109699,4.0185431,4.1850014,0.62518205,2020-03-24 02:09:35.999997183,0.0
737874.21,1.94,4.113367,4.0222111,4.1886694,0.62363859,2020-03-24 05:02:23.999996777,0.0
737874.97,1.94,4.1102743,4.0191184,4.1855767,0.62330604,2020-03-24 23:16:47.999997589,0.0
737875.96,1.57,4.1031629,4.012007,4.1784653,0.62684802,2020-03-25 23:02:23.999996777,0.0
737876.63,1.53,4.1108033,4.0196474,4.1861057,0.62538311,2020-03-26 15:07:12.000000406,0.0
737877.66,1.84,4.1192328,4.0280769,4.1945352,0.62042099,2020-03-27 15:50:24.000002816,0.0
737877.66,1.84,4.1192328,4.0280769,4.1945352,0.62231785,2020-03-27 15:50:24.000002816,0.0
737877.66,2.0,4.1257075,4.0345516,4.2010099,0.62042099,2020-03-27 15:50:24.000002816,0.0
737877.66,2.0,4.1257075,4.0345516,4.2010099,0.62231785,2020-03-27 15:50:24.000002816,0.0
737881.05,1.94,4.1061726,4.0150166,4.181475,0.62420942,2020-03-31 01:12:00.000004026,0.0
737881.36,1.84,4.1081109,4.016955,4.1834133,0.61745991,2020-03-31 08:38:23.999998790,0.0
737882.56,1.94,4.1009683,4.0098124,4.1762707,0.61526295,2020-04-01 13:26:24.000004829,0.0
737882.59,1.63,4.1076364,4.0164804,4.1829388,0.61458869,2020-04-01 14:09:35.999997183,0.0
737882.59,1.63,4.1076364,4.0164804,4.1829388,0.61725901,2020-04-01 14:09:35.999997183,0.0
737882.59,2.46,4.1082438,4.0170879,4.1835462,0.61458869,2020-04-01 14:09:35.999997183,0.0
737882.59,2.46,4.1082438,4.0170879,4.1835462,0.61725901,2020-04-01 14:09:35.999997183,0.0
737882.7,1.63,4.1165503,4.0253943,4.1918527,0.61509481,2020-04-01 16:47:59.999995973,0.0
737882.87,1.6,4.1332329,4.042077,4.2085353,0.61037443,2020-04-01 20:52:47.999999593,0.0
737883.56,2.0,4.1374012,4.0462452,4.2127036,0.60834806,2020-04-02 13:26:24.000004829,0.0
737884.27,1.53,4.1330726,4.0419167,4.208375,0.60596104,2020-04-03 06:28:48.000001607,0.0
737884.42,1.57,4.1383586,4.0472026,4.213661,0.60627468,2020-04-03 10:04:48.000003620,0.0
737884.68,1.57,4.1421988,4.0510428,4.2175012,0.60409393,2020-04-03 16:19:12.000004423,0.0
737884.77,1.53,4.1452675,4.0541115,4.2205699,0.60685006,2020-04-03 18:28:48.000001607,0.0
737884.85,1.57,4.1489943,4.0578384,4.2242967,0.60815685,2020-04-03 20:23:59.999997986,0.0
737885.07,1.57,4.1437423,4.0525864,4.2190447,0.60762059,2020-04-04 01:40:47.999995576,0.0
737885.3,1.6,4.139978,4.0488221,4.2152804,0.60630757,2020-04-04 07:12:00.000004026,0.0
737885.57,1.6,4.1380177,4.0468618,4.2133201,0.60905407,2020-04-04 13:40:47.999995576,0.0
737887.42,1.63,4.1266938,4.0355378,4.2019962,0.6095475,2020-04-06 10:04:48.000003620,0.0
737887.64,1.94,4.1555821,4.0644262,4.2308845,0.6041996,2020-04-06 15:21:36.000001209,0.0
737888.12,1.84,4.1568702,4.0657143,4.2321726,0.60378854,2020-04-07 02:52:47.999999593,0.0
737888.29,2.0,4.1584235,4.0672676,4.2337259,0.60220672,2020-04-07 06:57:36.000003222,0.0
737888.47,1.84,4.1838237,4.0926678,4.2591261,0.59549162,2020-04-07 11:16:47.999997589,0.0
737888.61,1.94,4.1908257,4.0996698,4.2661281,0.59607316,2020-04-07 14:38:23.999998790,0.0
737888.83,1.63,4.1894666,4.0983106,4.264769,0.59053825,2020-04-07 19:55:11.999996379,0.0
737889.13,2.0,4.189954,4.0987981,4.2652564,0.58720886,2020-04-08 03:07:12.000000406,0.0
737889.27,1.63,4.1880489,4.0968929,4.2633513,0.58509094,2020-04-08 06:28:48.000001607,0.0
737889.63,1.57,4.1936648,4.1025089,4.2689672,0.58389377,2020-04-08 15:07:12.000000406,0.0
737889.83,1.57,4.1924346,4.1012787,4.267737,0.58088433,2020-04-08 19:55:11.999996379,0.0
737889.91,2.0,4.1966267,4.1054708,4.2719291,0.58284654,2020-04-08 21:50:24.000002816,0.0
737890.11,1.6,4.2220501,4.1308942,4.2973525,0.57746816,2020-04-09 02:38:23.999998790,0.0
737890.23,1.94,4.2416063,4.1504504,4.3169087,0.5720497,2020-04-09 05:31:11.999998392,0.0
737890.6,1.63,4.2382382,4.1470822,4.3135406,0.56852653,2020-04-09 14:23:59.999997986,0.0
737890.64,1.84,4.2414247,4.1502687,4.3167271,0.56741734,2020-04-09 15:21:36.000001209,0.0
737891.27,1.63,4.2372776,4.1461217,4.31258,0.56665688,2020-04-10 06:28:48.000001607,0.0
737891.63,1.57,4.2393855,4.1482295,4.3146879,0.56405307,2020-04-10 15:07:12.000000406,0.0
737891.65,2.09,4.2430658,4.1519099,4.3183682,0.56392982,2020-04-10 15:36:00.000002013,0.0
737891.85,1.57,4.2429291,4.1517732,4.3182315,0.56729268,2020-04-10 20:23:59.999997986,0.0
737892.06,1.53,4.2422824,4.1511264,4.3175848,0.56905083,2020-04-11 01:26:24.000004829,0.0
737892.19,1.63,4.2416549,4.150499,4.3169573,0.56745254,2020-04-11 04:33:35.999995170,0.0
737895.55,1.63,4.2253773,4.1342213,4.3006797,0.56757659,2020-04-14 13:12:00.000004026,0.0
737895.64,2.09,4.2294735,4.1383176,4.3047759,0.57056261,2020-04-14 15:21:36.000001209,0.0
737895.66,1.57,4.2312431,4.1400872,4.3065455,0.57517516,2020-04-14 15:50:24.000002816,0.0
737895.94,1.57,4.2291634,4.1380075,4.3044658,0.57622455,2020-04-14 22:33:35.999995170,0.0
737896.06,1.6,4.232613,4.141457,4.3079153,0.58052917,2020-04-15 01:26:24.000004829,0.0
737896.56,2.0,4.230251,4.1390951,4.3055534,0.58099306,2020-04-15 13:26:24.000004829,0.0
737896.64,1.63,4.2383569,4.147201,4.3136593,0.5798909,2020-04-15 15:21:36.000001209,0.0
737896.8,1.84,4.2440412,4.1528853,4.3193436,0.57682903,2020-04-15 19:12:00.000004026,0.0
737896.82,1.94,4.2434238,4.1522679,4.3187262,0.57658958,2020-04-15 19:40:47.999995576,0.0
737896.86,1.53,4.243703,4.1525471,4.3190054,0.58270978,2020-04-15 20:38:23.999998790,0.0
737896.97,1.63,4.2463633,4.1552073,4.3216657,0.58049196,2020-04-15 23:16:47.999997589,0.0
737896.99,1.57,4.2714696,4.1803137,4.346772,0.57769888,2020-04-15 23:45:35.999999196,0.0
737897.06,1.53,4.2707999,4.179644,4.3461023,0.58213374,2020-04-16 01:26:24.000004829,0.0
737897.37,1.53,4.2693312,4.1781753,4.3446336,0.58604403,2020-04-16 08:52:47.999999593,0.0
737897.8,1.94,4.2731463,4.1819903,4.3484487,0.58328991,2020-04-16 19:12:00.000004026,0.0
737897.85,1.84,4.2749956,4.1838397,4.350298,0.58423243,2020-04-16 20:23:59.999997986,0.0
737898.16,1.6,4.2754658,4.1843099,4.3507682,0.58498021,2020-04-17 03:50:24.000002816,0.0
737898.16,1.6,4.2754658,4.1843099,4.3507682,0.58622895,2020-04-17 03:50:24.000002816,0.0
737898.16,1.57,4.2817643,4.1906084,4.3570667,0.58498021,2020-04-17 03:50:24.000002816,0.0
737898.16,1.57,4.2817643,4.1906084,4.3570667,0.58622895,2020-04-17 03:50:24.000002816,0.0
737898.53,1.53,4.2772162,4.1860602,4.3525186,0.5900362,2020-04-17 12:43:12.000002410,0.0
737898.77,1.53,4.2732347,4.1820788,4.3485371,0.59162462,2020-04-17 18:28:48.000001607,0.0
