Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime,Label_Phase4
737891.35,0.88,4.7096306,4.6184746,4.784933,0.62703877,2020-04-10 08:23:59.999997986,0.0
737891.35,1.16,4.7134633,4.6223074,4.7887657,0.62366366,2020-04-10 08:23:59.999997986,0.0
737891.35,1.16,4.7134633,4.6223074,4.7887657,0.62703877,2020-04-10 08:23:59.999997986,0.0
737891.53,1.04,4.7256235,4.6344675,4.8009258,0.62322711,2020-04-10 12:43:12.000002410,0.0
737891.54,0.58,4.7239466,4.6327907,4.799249,0.62743876,2020-04-10 12:57:36.000003222,0.0
737891.56,0.88,4.7259116,4.6347557,4.801214,0.62699593,2020-04-10 13:26:24.000004829,0.0
737891.61,0.79,4.7226314,4.6314754,4.7979338,0.62692946,2020-04-10 14:38:23.999998790,0.0
737891.63,1.57,4.7281284,4.6369725,4.8034308,0.62494617,2020-04-10 15:07:12.000000406,0.0
737891.65,0.58,4.7211425,4.6299866,4.7964449,0.6279552,2020-04-10 15:36:00.000002013,0.0
737891.65,0.58,4.7211425,4.6299866,4.7964449,0.63168483,2020-04-10 15:36:00.000002013,0.0
737891.65,0.58,4.7211425,4.6299866,4.7964449,0.63406623,2020-04-10 15:36:00.000002013,0.0
737891.65,0.63,4.7224695,4.6313136,4.7977719,0.6279552,2020-04-10 15:36:00.000002013,0.0
737891.65,0.63,4.7224695,4.6313136,4.7977719,0.63168483,2020-04-10 15:36:00.000002013,0.0
737891.65,0.63,4.7224695,4.6313136,4.7977719,0.63406623,2020-04-10 15:36:00.000002013,0.0
737891.65,2.09,4.7291626,4.6380067,4.804465,0.6279552,2020-04-10 15:36:00.000002013,0.0
737891.65,2.09,4.7291626,4.6380067,4.804465,0.63168483,2020-04-10 15:36:00.000002013,0.0
737891.65,2.09,4.7291626,4.6380067,4.804465,0.63406623,2020-04-10 15:36:00.000002013,0.0
737891.66,1.47,4.7341772,4.6430213,4.8094796,0.63378744,2020-04-10 15:50:24.000002816,0.0
737891.78,0.55,4.7356501,4.6444941,4.8109525,0.63666794,2020-04-10 18:43:12.000002410,0.0
737891.85,0.63,4.7305304,4.6393745,4.8058328,0.64087083,2020-04-10 20:23:59.999997986,0.0
737891.85,0.63,4.7305304,4.6393745,4.8058328,0.64339123,2020-04-10 20:23:59.999997986,0.0
737891.85,1.57,4.7470769,4.655921,4.8223793,0.64087083,2020-04-10 20:23:59.999997986,0.0
737891.85,1.57,4.7470769,4.655921,4.8223793,0.64339123,2020-04-10 20:23:59.999997986,0.0
737891.89,1.41,4.7546782,4.6635223,4.8299806,0.63994408,2020-04-10 21:21:36.000001209,0.0
737891.9,0.79,4.7558697,4.6647138,4.8311721,0.64094911,2020-04-10 21:36:00.000002013,0.0
737892.05,0.79,4.7440331,4.6528771,4.8193355,0.64105341,2020-04-11 01:12:00.000004026,0.0
737892.05,0.79,4.7440331,4.6528771,4.8193355,0.64127044,2020-04-11 01:12:00.000004026,0.0
737892.05,0.88,4.7447904,4.6536345,4.8200928,0.64105341,2020-04-11 01:12:00.000004026,0.0
737892.05,0.88,4.7447904,4.6536345,4.8200928,0.64127044,2020-04-11 01:12:00.000004026,0.0
737892.06,1.53,4.7476023,4.6564464,4.8229047,0.64107653,2020-04-11 01:26:24.000004829,0.0
